id,user,contest,place
1150,96,77,170
1151,96,95,30
1152,96,117,125
1153,96,143,122
1154,96,184,133
1155,97,1,97
1156,97,16,63
1157,98,1,97
1158,99,1,99
1159,99,17,94
1160,99,62,163
1161,99,68,75
1162,99,70,12
1163,99,105,163
1164,99,139,75
1165,100,1,100
1166,100,7,103
1167,100,16,150
1168,100,34,29
1169,100,79,42
1170,100,96,55
1171,100,132,151
1172,100,143,110
1173,100,151,84
1174,100,155,171
1175,100,156,181
1176,100,161,176
1177,100,185,34
1178,101,1,101
1179,101,7,186
1180,101,96,3
1181,101,165,181
1182,101,167,118
1183,101,171,139
1184,101,179,110
1185,101,190,110
1186,101,191,186
1187,102,1,102
1188,102,23,150
1189,102,34,192
1190,102,49,166
1191,102,51,75
1192,102,58,106
1193,102,66,142
1194,102,77,189
1195,102,85,171
1196,102,90,105
1197,102,105,193
1198,102,141,40
1199,102,169,119
1200,102,185,22
1201,103,1,103
1202,103,97,135
1203,103,114,8
1204,103,140,138
1205,103,141,68
1206,104,1,104
1207,104,49,163
1208,105,1,105
1209,106,1,105
1210,107,1,105
1211,107,45,143
1212,108,1,108
1213,108,22,76
1214,108,29,180
1215,108,34,10
1216,108,41,173
1217,108,47,123
1218,108,53,176
1219,108,82,74
1220,108,89,148
1221,108,97,142
1222,108,124,149
1223,108,140,193
1224,108,149,49
1225,108,150,39
1226,108,157,194
1227,108,163,31
1228,108,165,56
1229,108,166,10
1230,108,179,118
1231,108,181,17
1232,109,1,109
1233,109,6,34
1234,109,34,97
1235,109,118,45
1236,109,122,180
1237,109,136,95
1238,109,144,155
1239,109,161,84
1240,109,170,160
1241,109,185,158
1242,109,200,53
1243,110,1,110
1244,110,7,130
1245,111,1,110
1246,112,1,110
1247,112,4,65
1248,112,8,112
1249,112,127,73
1250,113,1,113
1251,114,1,114
1252,114,7,133
1253,114,55,111
1254,115,1,115
1255,115,20,180
1256,115,34,25
1257,115,41,127
1258,115,75,188
1259,115,82,95
1260,115,107,132
1261,115,122,170
1262,115,128,31
1263,116,1,116
1264,116,55,195
1265,116,77,89
1266,116,83,86
1267,116,85,169
1268,116,163,158
1269,116,165,12
